"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T"
"655",0,0,0,0,0,0,0,0,0,0,0,0
"656",20,4,3,1,18,12,8,9,0,4,12,5
"657",27,15,13,6,15,8,19,17,62,4,19,12
"658",0,2,1,0,0,0,0,0,3,0,0,1
"659",366,355,402,136,243,170,261,183,232,79,138,114
"660",1,15,4,1,0,0,0,1,0,0,0,0
"661",23,19,11,46,54,43,44,30,9,22,57,43
"662",8,5,3,12,16,13,5,2,5,7,11,11
"663",574,509,383,366,368,341,254,210,148,353,475,284
"664",27,20,30,7,32,11,43,32,5,17,41,10
"665",717,675,536,617,259,594,215,194,238,455,444,398
"666",0,0,0,0,0,0,0,1,0,1,0,0
"667",350,778,244,138,39,54,215,153,172,295,104,142
"668",0,0,0,1,0,0,0,0,0,0,0,0
"669",54,84,51,42,16,41,142,45,61,111,220,100
"670",10,8,8,13,19,8,6,6,6,7,13,3
"671",21,110,10,22,2,5,1,6,0,50,1,28
"672",29,34,14,8,13,10,6,12,8,8,3,28
"673",1789,1039,834,1550,2386,1342,1772,705,322,814,1547,640
"675",165,102,138,149,159,138,86,72,87,89,85,94
"676",0,2,0,0,0,0,6,4,1,2,8,1
"677",3674,2225,2226,2301,2063,1805,1295,1246,1176,958,884,721
"678",1234,1164,2411,640,996,1279,1790,950,1093,966,3696,1419
"680",0,0,1,0,0,1,0,0,0,0,1,0
"682",253,247,299,183,81,155,84,77,52,116,69,147
"683",91,72,14,13,7,12,5,14,48,20,6,20
"684",43,44,37,8,9,8,5,9,12,8,13,7
"685",0,1,0,0,0,0,0,0,0,0,0,0
"686",88,121,195,27,24,33,197,193,60,35,80,49
"687",160,198,235,114,113,230,198,146,159,115,345,190
"688",63,405,779,25,17,22,46,48,52,39,66,42
"689",622,533,492,560,606,672,156,136,138,454,789,475
"690",0,0,0,0,0,0,0,1,0,0,0,0
"694",5894,3218,4254,3045,2820,4289,3075,1581,1685,2460,3833,2130
"695",340,237,251,106,133,102,19,24,51,21,0,17
"696",0,0,0,2,2,0,1,3,0,3,1,1
"699",17,16,49,12,12,11,13,9,2,13,30,13
"701",7,19,0,9,2,7,10,10,0,8,7,14
"705",9,18,4,23,32,18,18,11,58,14,34,10
"706",92,85,51,17,11,9,12,19,91,23,12,22
"708",80,61,123,55,121,92,33,31,3,71,188,84
"710",26,44,2,2,1,4,1,4,12,10,0,20
